sch_id,country,type_name,sch_name
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5062,英国,中学,圣列奥纳兹梅菲尔德女子学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5060,英国,中学,希弗德学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5061,英国,中学,斯林顿学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5059,英国,中学,皇家罗素中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5058,英国,中学,卢克伍德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5077,英国,中学,蒙默斯女校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5055,英国,中学,帕莱尔帕克学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5056,英国,中学,皇后安妮学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5057,英国,中学,布莱顿罗丁女子学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5075,英国,中学,唐德塞中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5076,英国,中学,丁克洛斯中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5074,英国,中学,科斯顿女子学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5073,英国,中学,克里夫顿学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5072,英国,中学,克雷斯默学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5069,英国,中学,布鲁顿女子中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5071,英国,中学,乔汀汉学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5070,英国,中学,坎福德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5068,英国,中学,沃丁翰学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5067,英国,中学,惠灵顿学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5088,英国,中学,斯托佛中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5087,英国,中学,西德科特学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5085,英国,中学,皇后学院陶顿
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5083,英国,中学,蒙顿康学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5086,英国,中学,谢贝尔学院
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5084,英国,中学,蒙默斯学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5081,英国,中学,金斯伍德中学
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5082,英国,中学,米尔菲尔德学校
http://www.liuxuebao.com/cn/search/detail-school.aspx?id=5079,英国,中学,国王布鲁顿学校
